Timestamp,Device,Battery,Humidity,Temperature,Temperature - DS (C°),Temperature - SHT (F°),Temperature - DS (F°),Hotspot Name,Hotspot Latitude,Hotspot Longitude,RSSI(rx signal strength indicator),SNR(signal noise ratio),Temperature - DS (C°),Temperature - SHT (C°),,,,,,,,
3/29/2022 9:04:52,,3.032,52.8,22.18,22.82,,,,,,,,,,,,,,,,,
3/29/2022 11:27:17,,3.03,60.7,23.93,23.87,,,,,,,,,,,,,,,,,
3/29/2022 13:34:39,,3.028,52.4,23.37,24.99,,,,,,,,,,,,,,,,,
3/29/2022 19:14:22,,3.034,55.2,23.93,24.4,,,,,,,,,,,,,,,,,
3/29/2022 20:14:22,,3.034,56.5,23.68,24.13,,,,,,,,,,,,,,,,,
3/29/2022 21:34:22,,3.034,57,23.25,23.83,,,,,,,,,,,,,,,,,
3/29/2022 23:14:22,,3.034,57.5,22.93,23.48,,,,,,,,,,,,,,,,,
3/30/2022 3:14:22,,3.034,60.8,22.25,22.72,,,,,,,,,,,,,,,,,
3/30/2022 3:54:23,,3.036,60.7,21.81,22.42,,,,,,,,,,,,,,,,,
3/30/2022 7:34:22,,3.036,61.1,21.12,21.59,,,,,,,,,,,,,,,,,
3/30/2022 11:38:01,,3.034,52.1,21,21.51,,,,,,,,,,,,,,,,,
3/30/2022 14:18:01,,3.036,48.6,20.25,20.6,,,,,,,,,,,,,,,,,
3/30/2022 17:33:36,,3.032,43.2,20.56,24.78,,,,,,,,,,,,,,,,,
3/30/2022 20:53:37,,3.034,53.1,19.87,19.81,,,,,,,,,,,,,,,,,
3/30/2022 21:13:35,,3.034,53.2,19.75,19.68,,,,,,,,,,,,,,,,,
3/31/2022 8:22:54,,3.03,51.5,19.37,19.48,,,,,,,,,,,,,,,,,
3/31/2022 8:42:57,,3.034,48.7,20.81,20.86,,,,,,,,,,,,,,,,,
3/31/2022 15:02:57,,3.034,35.7,16,19.28,,,,,,,,,,,,,,,,,
3/31/2022 20:22:56,,3.032,38,20.68,21.07,,,,,,,,,,,,,,,,,
4/1/2022 4:02:56,,3.032,42.7,18.06,18.27,,,,,,,,,,,,,,,,,
4/1/2022 6:02:56,,3.032,42.8,18.87,18.51,,,,,,,,,,,,,,,,,
4/1/2022 9:22:56,,3.03,40.1,19.25,19.37,,,,,,,,,,,,,,,,,
4/1/2022 14:42:57,,3.03,40.4,21.5,21.57,,,,,,,,,,,,,,,,,
4/1/2022 16:02:57,,3.032,37.8,23.18,23.31,,,,,,,,,,,,,,,,,
4/1/2022 16:22:58,,3.032,37.7,23.43,23.6,,,,,,,,,,,,,,,,,
4/2/2022 9:02:57,,3.03,48.7,19.12,19.17,,,,,,,,,,,,,,,,,
4/2/2022 22:54:04,,3.034,44,21.81,21.86,,,,,,,,,,,,,,,,,
4/3/2022 4:34:04,,3.034,50.9,20.37,20.44,,,,,,,,,,,,,,,,,
4/3/2022 6:34:04,,3.036,52.2,19.93,20.01,,,,,,,,,,,,,,,,,
4/3/2022 9:34:05,,3.034,52.8,19.43,19.5,,,,,,,,,,,,,,,,,
4/3/2022 21:34:05,,3.032,52.1,18.87,19.08,,,,,,,,,,,,,,,,,
4/4/2022 12:34:05,,3.03,56.1,20,20.28,,,,,,,,,,,,,,,,,
4/4/2022 14:21:52,,3.03,53.6,22.87,22.77,,,,,,,,,,,,,,,,,
4/5/2022 2:33:44,,3.034,59.3,19,19.14,,,,,,,,,,,,,,,,,
4/5/2022 9:29:27,,3.03,57.4,22.18,21.69,,,,,,,,,,,,,,,,,
4/5/2022 11:13:08,,3.03,54.4,23.31,23.48,,,,,,,,,,,,,,,,,
4/5/2022 12:33:07,,3.03,57.9,22.18,22.53,,,,,,,,,,,,,,,,,
4/5/2022 13:13:07,,3.03,57.9,21.43,21.91,,,,,,,,,,,,,,,,,
4/5/2022 14:29:06,,3.032,62.9,23.12,22.59,,,,,,,,,,,,,,,,,
4/5/2022 15:49:06,,3.03,55.3,25,24.51,,,,,,,,,,,,,,,,,
4/5/2022 17:09:06,,3.034,51.3,27.68,26.45,,,,,,,,,,,,,,,,,
4/5/2022 20:49:06,,3.038,64.3,22.18,22.46,,,,,,,,,,,,,,,,,
4/6/2022 14:09:06,,3.034,11.6,25.62,26.6,,,,,,,,,,,,,,,,,
4/6/2022 18:29:06,,3.036,13.5,19,19.46,,,,,,,,,,,,,,,,,
4/6/2022 18:49:05,,3.038,14.9,18.75,19,,,,,,,,,,,,,,,,,
4/6/2022 20:49:08,,3.034,21.7,16.37,16.55,,,,,,,,,,,,,,,,,
4/7/2022 12:29:06,,3.025,31.6,13.56,13.52,,,,,,,,,,,,,,,,,
4/7/2022 18:09:07,,3.025,25.6,17.25,15.29,,,,,,,,,,,,,,,,,
4/7/2022 20:09:07,,3.027,28.6,13.62,13.72,,,,,,,,,,,,,,,,,
4/7/2022 21:09:07,,3.025,31.2,12.81,12.96,,,,,,,,,,,,,,,,,
4/7/2022 22:49:06,,3.023,39.8,10.31,10.41,,,,,,,,,,,,,,,,,
4/8/2022 5:09:07,,3.018,53.6,6.37,6.33,,,,,,,,,,,,,,,,,
4/8/2022 5:49:07,,3.016,52.7,6.43,6.37,,,,,,,,,,,,,,,,,
4/8/2022 8:09:07,,3.016,52.9,18.18,14.11,,,,,,,,,,,,,,,,,
4/8/2022 9:09:07,,3.019,42.8,18.68,17.76,,,,,,,,,,,,,,,,,
4/8/2022 12:09:07,,3.018,38.8,19.12,18.51,,,,,,,,,,,,,,,,,
4/8/2022 14:49:07,,3.019,35.8,19.81,19.27,,,,,,,,,,,,,,,,,
4/8/2022 18:09:07,,3.019,31.6,21.18,20.85,,,,,,,,,,,,,,,,,
4/8/2022 20:49:07,,3.019,37,19.06,19.25,,,,,,,,,,,,,,,,,
4/9/2022 0:29:07,,3.019,39.9,18.06,17.74,,,,,,,,,,,,,,,,,
4/9/2022 11:09:10,,3.018,38.2,20,18.2,,,,,,,,,,,,,,,,,
4/9/2022 15:49:08,,3.019,29.9,21.68,21.44,,,,,,,,,,,,,,,,,
4/10/2022 1:09:07,,3.023,38,20.06,20.26,,,,,,,,,,,,,,,,,
4/10/2022 1:49:08,,3.027,38.6,19.87,20.05,,,,,,,,,,,,,,,,,
4/10/2022 2:29:08,,3.027,39.1,19.75,19.91,,,,,,,,,,,,,,,,,
4/10/2022 6:09:07,,3.027,40.1,19.56,19.72,,,,,,,,,,,,,,,,,
4/10/2022 15:09:07,,3.027,51.2,23.68,23.31,,,,,,,,,,,,,,,,,
4/10/2022 16:09:07,,3.027,49.1,23.68,23.73,,,,,,,,,,,,,,,,,
4/10/2022 20:29:08,,3.027,48.6,22,22.15,,,,,,,,,,,,,,,,,
4/10/2022 23:09:08,,3.027,51,21.31,21.46,,,,,,,,,,,,,,,,,
4/11/2022 6:49:07,,3.027,58.3,19.62,19.76,,,,,,,,,,,,,,,,,
4/11/2022 10:49:08,,3.03,63.3,19.68,19.8,,,,,,,,,,,,,,,,,
4/11/2022 12:29:11,,3.028,84.1,16.37,16.52,,,,,,,,,,,,,,,,,
4/11/2022 13:09:08,,3.027,79.8,15.93,16.09,,,,,,,,,,,,,,,,,
4/11/2022 20:29:08,,3.03,74.5,17.5,17.99,,,,,,,,,,,,,,,,,
4/12/2022 0:49:08,,3.023,61.5,20.43,20.53,,,,,,,,,,,,,,,,,
4/12/2022 2:09:10,,3.025,61.5,20.18,20.28,,,,,,,,,,,,,,,,,
4/12/2022 5:29:09,,3.027,62.5,19.81,19.89,,,,,,,,,,,,,,,,,
4/12/2022 10:29:08,,3.027,79,23.5,22.48,,,,,,,,,,,,,,,
4/12/2022 12:29:09,,3.027,66.8,25.31,25.19,,,,,,,,,,,,,,,,,
4/12/2022 12:49:08,,3.027,66.1,25.56,25.41,,,,,,,,,,,,,,,,,
4/13/2022 4:21:40,,3.03,69.2,20.5,20.57,,,,,,,,,,,,,,,,,
4/13/2022 7:41:41,,3.034,66.9,12.25,12.79,,,,,,,,,,,,,,,,,
4/13/2022 12:21:42,,3.03,40.1,13.12,13.34,,,,,,,,,,,,,,,,,
4/13/2022 13:01:41,,3.03,39.3,14.37,14.01,,,,,,,,,,,,,,,,,
4/18/2022 11:21:04,,3.014,48.8,23.25,22.97,,,,,,,,,,,,,,,,,
4/18/2022 11:41:06,,3.019,52.3,11.81,13.73,,,,,,,,,,,,,,,,,
4/18/2022 12:01:04,,3.019,53,12.18,12.65,,,,,,,,,,,,,,,,,
4/18/2022 12:21:06,,3.018,54.3,12.81,12.7,,,,,,,,,,,,,,,,,
4/18/2022 12:41:05,,3.018,53.3,13.25,13.06,,,,,,,,,,,,,,,,,
4/18/2022 14:01:06,,3.016,43.6,15.31,15.31,,,,,,,,,,,,,,,,,
4/18/2022 14:41:08,,3.018,41.3,16.62,16.56,,,,,,,,,,,,,,,,,
4/18/2022 16:41:06,,3.019,29.1,20.75,20.41,,,,,,,,,,,,,,,,,
4/18/2022 18:01:06,,3.019,13.4,32.37,30.05,,,,,,,,,,,,,,,,,
4/18/2022 19:41:05,,3.027,28.1,17.75,19.64,,,,,,,,,,,,,,,,,
4/19/2022 1:41:06,,3.021,60.9,8.43,8.21,,,,,,,,,,,,,,,,,
4/19/2022 4:01:06,,3.021,59.6,7,6.68,,,,,,,,,,,,,,,,,
4/19/2022 7:01:06,,3.016,64.4,5.81,5.46,,,,,,,,,,,,,,,,,
4/19/2022 10:41:08,,3.016,32.5,14.12,13.98,,,,,,,,,,,,,,,,,
4/19/2022 22:22:59,Dragino,3.021,45.2,20.51,68.918,66.2,19,short-pebble-peacock,,,,,,,,,,,,,,
4/20/2022 0:42:57,Dragino,3.021,46.1,20.18,68.324,66.074,18.93,short-pebble-peacock,,,,,,,Put in soil,,,,,,,
4/20/2022 8:13:19,Dragino,3.023,53.4,,68.756,66.074,,short-pebble-peacock,,,,,,,,,,,,,,
4/21/2022 0:28:52,Temp/Humidity Sensor,3.027,66.5,,68.936,68.324,,short-pebble-peacock,,,,,,,,,,,,,,
4/21/2022 1:08:51,Temp/Humidity Sensor,3.025,66.7,,68.558,68.108,,short-pebble-peacock,,,,,,,,,,,,,,
4/21/2022 6:48:51,Temp/Humidity Sensor,3.023,66.4,,67.658,67.208,,short-pebble-peacock,,,,,,,,,,,,,,
4/21/2022 17:33:33,Temp/Humidity Sensor,3.028,53.6,,70.268,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/21/2022 18:33:33,Temp/Humidity Sensor,3.028,53.7,,68.828,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/21/2022 19:53:33,Temp/Humidity Sensor,3.028,53.7,,67.766,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/21/2022 20:33:33,Temp/Humidity Sensor,3.028,53.6,,66.866,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/22/2022 1:53:33,Temp/Humidity Sensor,3.028,56.2,,66.344,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/22/2022 2:13:34,Temp/Humidity Sensor,3.03,56.5,,66.434,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/22/2022 9:13:34,Temp/Humidity Sensor,3.027,60.6,,66.704,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/22/2022 9:33:33,Temp/Humidity Sensor,3.028,60.7,,66.596,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/22/2022 14:53:33,Temp/Humidity Sensor,3.027,61,,65.048,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/22/2022 20:13:34,Temp/Humidity Sensor,3.027,61.7,,65.678,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/22/2022 20:53:34,Temp/Humidity Sensor,3.03,61.5,,65.552,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 0:53:34,Temp/Humidity Sensor,3.027,61.5,,67.55,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 2:13:34,Temp/Humidity Sensor,3.03,60.8,,67.046,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 2:33:33,Temp/Humidity Sensor,3.03,60,,66.83,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 3:13:34,Temp/Humidity Sensor,3.027,60.7,,66.506,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 4:53:34,Temp/Humidity Sensor,3.03,60.9,,67.244,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 5:13:34,Temp/Humidity Sensor,3.03,60.9,,67.352,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 5:33:33,Temp/Humidity Sensor,3.03,60.8,,67.514,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 6:53:34,Temp/Humidity Sensor,3.03,60.7,,67.838,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 7:33:34,Temp/Humidity Sensor,3.03,60.7,,67.982,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 8:33:34,Temp/Humidity Sensor,3.028,60.3,,67.514,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 11:33:33,Temp/Humidity Sensor,3.027,60.3,,67.136,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 13:33:33,Temp/Humidity Sensor,3.027,60.8,,67.1,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 16:13:33,Temp/Humidity Sensor,3.03,60.2,,68.72,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 16:33:36,Temp/Humidity Sensor,3.027,59.4,,68.054,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 18:53:34,Temp/Humidity Sensor,3.027,60.5,,65.642,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/23/2022 23:13:34,Temp/Humidity Sensor,3.027,60.3,,65.678,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/24/2022 0:33:34,Temp/Humidity Sensor,3.03,59.9,,65.624,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/24/2022 1:33:35,Temp/Humidity Sensor,3.027,59.6,,65.408,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/24/2022 5:13:34,Temp/Humidity Sensor,3.027,59.3,,66.128,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/24/2022 6:33:34,Temp/Humidity Sensor,3.028,59.2,,66.56,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/24/2022 7:53:38,Temp/Humidity Sensor,3.028,59.2,,66.794,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
4/24/2022 12:33:34,Temp/Humidity Sensor,3.027,59.4,,66.056,621.806,,short-pebble-peacock,,,,,,,,,,,,,,
